method,kind,dataset_label,dataset,k,num_samples,mean_recall,mean_regret,checkpoint
coord_unshared_rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,4.0,1000.0,0.5308333333333333,0.8580855117414791,checkpoints/ablations/coord_unshared_rank_knn_linf.pt
coord_unshared_rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,8.0,1000.0,0.7193333333333333,0.9459855491554401,checkpoints/ablations/coord_unshared_rank_knn_linf.pt
coord_unshared_rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,16.0,1000.0,0.887,0.9839666145362269,checkpoints/ablations/coord_unshared_rank_knn_linf.pt
depth0_no_graph,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,4.0,1000.0,0.3886666666666666,0.663992796847158,checkpoints/ablations/depth0_no_graph.pt
depth0_no_graph,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,8.0,1000.0,0.5561666666666666,0.8534649226714184,checkpoints/ablations/depth0_no_graph.pt
depth0_no_graph,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,16.0,1000.0,0.7476666666666665,0.946938763640483,checkpoints/ablations/depth0_no_graph.pt
depth1_rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,4.0,1000.0,0.493,0.7985839338546864,checkpoints/ablations/depth1_rank_knn_linf.pt
depth1_rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,8.0,1000.0,0.682,0.9357349628305025,checkpoints/ablations/depth1_rank_knn_linf.pt
depth1_rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,16.0,1000.0,0.8653333333333333,0.9804884554441562,checkpoints/ablations/depth1_rank_knn_linf.pt
depth2_rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,4.0,1000.0,0.5311666666666667,0.8312442672386455,checkpoints/ablations/depth2_rank_knn_linf.pt
depth2_rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,8.0,1000.0,0.7313333333333333,0.9481315968859247,checkpoints/ablations/depth2_rank_knn_linf.pt
depth2_rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,16.0,1000.0,0.8956666666666666,0.9849359371856076,checkpoints/ablations/depth2_rank_knn_linf.pt
flat_mlp,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,4.0,1000.0,0.074,0.38902865393753805,checkpoints/ablations/flat_mlp.pt
